Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||DAVID A LANDINEZ TELLEZ|JAIRO ROA ROJAS||||2|"SUSTITUCIÓN DE ELEMENTOS 3D EN EL SITIO DEL CU EN EL COMPUESTO SUPERCONDUCTOR CALABACU3O7-D"|Colombia|Revista Colombiana De Física |0120-2650 |2006|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||DAVID A LANDINEZ TELLEZ|JAIRO ROA ROJAS||||2|"SUSTITUCIÓN DE ELEMENTOS 3D EN EL SITIO DEL CU EN EL COMPUESTO SUPERCONDUCTOR CALABACU3O7-D"|Colombia|Revista Colombiana De Física |0120-2650 |2006|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||HERNAN OLAYA DAVILA|J E GARAVITO||||2|"CARACTERISTICAS DOSIMETRICAS DE MATERIAL TERMOLUMINISCENTE"|Colombia|REVISTA COLOMBIANA DE FISICA |0 |2007|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||JAIRO ROA ROJAS|DAVID LANDINEZ TELLEZ||||2|"SINTESIS Y CARACTERIZACIÓN ESTRUCTURAL Y MAGNÉTICA DEL SISTEMA"|Colombia|Revista Colombiana De Física |0120-2650 |2007|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||RODRIGUEZ LARA JAIME|||||1|"ESTUDIO Y CARACTERIZACION DE ALGUNAS PROPIEDADES FISICAS DE ESPUMAS BASADAS EN PE, PP, PU"|Colombia|I CONGRESO INTERNACIONAL DE MATERIALES |0 |2001|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||DAVID A LANDINEZ TELLEZ|JAIRO ROA ROJAS||||2|"EFECTOS DE LA SUBSTITUCI´ON DE ELEMENTOS 3D SOBRE LAS PROPIEDADES SUPERCONDUCTORAS DEL SISTEMA CALABACU3O7¡±"|México|Revista Mexicana De Fisica |0035-001X |2006|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||JOSE LUIS GARCIA MUNOZ|CARLOS FRONTERA BECCARIA||||2|"MAGNETORESISTANCE IN THE PARAMAGNETIC INSULATING STATE OF OF PR0.5CA0.5COO6"|Estados Unidos|Journal Of Physics: Conference Series |1742-6588 |2010|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"ROLE OF A-SITE CATIONS IN THE METAL-INSULATOR TRANSITION IN PR0.5CA0.5COO3-D (D=0)"|Estados Unidos|Physical Review B |1550-235X |2010|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"MAGNETIC, STRUCTURAL PROPERTIES AND B-SITE ORDER OF TWO EPITAXIAL LA2MNCOO6 FILMS WITH PERPENDICULAR OUT-OF-PLANE ORIENTATION"|Estados Unidos|Journal Of Physics: Conference Series |1742-6596 |2010|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"VALENCE TRANSITION IN (PR,CA)COO3 COBALTITES: CHARGE MIGRATION AT THE METAL-INSULATOR TRANSITION"|Estados Unidos|Physical Review B |1550-235X |2011|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"VALENCE CHANGE OF PRASEODYMIUM IN PR0.5CA0.5COO3 INVESTIGATED BY X-RAY ABSORPTION SPECTROSCOPY"|Estados Unidos|Physical Review B |1550-235X |2011|0|3
